CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote
Barbados,BRB,20200821,20201230,C6: Stay at home requirements,0,,"There are currently no lockdowns, curfews, or stay home requirements, in place, in Barbados. Exceptions are if you are in quarantine - due to being infected with coronavirus, having come from a High-Risk country, or “if the Barbados authorities deem that you have been in close contact with a COVID-19 positive individual.” Source: http://web.archive.org/web/20200830204502/https://www.gov.uk/foreign-travel-advice/barbados/coronavirus"
Barbados,BRB,20200821,20210425,C7: Restrictions on internal movement,0,,"There are no restrictions on intercity or interstate travel, and there is no curfew in place. Source: http://web.archive.org/web/20200830212325/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/"
Barbados,BRB,20200821,20201220,E2: Debt/contract relief,2,,"On July 31st, Permanent Secretary in the Prime Minister’s Office announced that the “Government will continue to assist those vulnerable families enrolled in the Adopt our Families Programme.” Source: https://web.archive.org/web/20200830233500/https://gisbarbados.gov.bb/blog/vulnerable-families-will-continue-to-have-assistance/  “Adopt-a-Family Program – Government working with persons earning more than USD50,000 per year to adopt a vulnerable family and provide them with USD300 per month or contribute to an Adopt-a-family fund chaired by the Director of Finance”  “Welfare Support – Government, through the welfare department, to provide minimum income of an amount up to USD300 per month to households where no person is left employed as a result of COVID-19.”  “Household Survival Program –Implement a Household Survival Program (injecting USD10 million) consisting of three initiatives to assist displaced workers. Those being laid off are entitles to unemployment benefits.”  Source: http://web.archive.org/web/20200830221836/https://home.kpmg/xx/en/home/insights/2020/04/barbados-government-and-institution-measures-in-response-to-covid.html  In addition, the “6-month grace period announced for the payment of all loans and mortgages of persons and businesses impacted by economic slow down caused by COVID-19”, announced by Prime Minister, Mia Mottley, on the 20th March, is still current. Source: https://web.archive.org/web/20200830224016/https://www.loopnewsbarbados.com/content/banks-offer-six-month-grace-period-loans-and-mortgages  Also, “The Student Revolving Loan Fund has made the following repayment relief options available to those in need: Reduced payment amounts Deferral of payment (Up to 6 months) Suspension of interest (Up to 3 months) Waiver of late fees” Source: https://web.archive.org/web/20200830233755/https://www.srlfloan.edu.bb/News/COVID-19-Repayment-Relief.aspx  The latest coronavirus response plan updates from utilities indicate that they are not going to disconnect customers. For example, The Barbados Light & Power Co. Ltd.’s latest Customer Care Update, in relation to COVID-19, on April 7th, stated: “We have temporarily suspended disconnections for non-payment for residential and business customers. However, we do encourage you to stay as current as possible on your electricity bills to avoid accumulating a large balance in the longer term.” Source: http://web.archive.org/web/20200708205228/https://www.blpc.com.bb/index.php/covid-19-update https://www.blpc.com.bb/index.php/covid-19-update"
Barbados,BRB,20200921,20210117,C1: School closing,1,1,"Schools have re-opened today, but with strict hygiene measures. These measures are outlined in the 'Guidelines For The Safe Operation Of Schools In Barbados', and include requirements such as that masks must be worn at all times, and that students must carry a spare. There must be proper ventilation in classrooms. Janitorial staff must undertake regular cleaning, especially of high traffic areas. A record of this cleaning must be displayed and inspected daily by supervisors. Signs and posters promoting hand-washing must be placed strategically around the school. More requirements can be read here: https://drive.google.com/file/d/1gT6sIVl0pwBLrPTrhUm4zPxP60_h3Nu-/view?usp=sharing    See government article, archived: https://web.archive.org/web/20200926042106/https://gisbarbados.gov.bb/blog/smooth-return-to-school-on-day-one/"
Barbados,BRB,20201009,20201028,C5: Close public transport,0,,"Masks are required for public transportation and taxis.    https://web.archive.org/web/20201019182807/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/"
Barbados,BRB,20201029,20201231,C4: Restrictions on gatherings,2,1,"The Barbados government published the 'Emergency Management (COVID-19)  Protocol (No. 4) Directive, 2020' on 29th October 2020. Measures outlined will apply between the 29th October, 2020 and the 27th March, 2021.    Paragraph 3, sub-paragraph 1 of this document outlines that individuals are able to hold a private party, recreational or competitive sporting event, a banquet, ball or reception, any social event, a meeting of a fraternal society, private or social club, or civic association or organisation, and a political meeting. Paragraph 3, sub-paragraph 2 clarifies that these events cannot be attended by more than 500 people and sub-paragraph 5 states that there must be physical distancing of 1m between attendees, unless they are of the same household.    Paragraph 9, sub-paragraph 1 indicates that exceptions can be made for those wishing to host an activity with more than 500 people, if they seek permission from the Covid-19 Protocol Monitoring Unit.    https://drive.google.com/file/d/120tlIBURJq4vvzEgG4UR5khtz-N9jxXJ/view  "
Barbados,BRB,20201029,20210605,C5: Close public transport,1,1,"The Barbados government published the 'Emergency Management (COVID-19)  Protocol (No. 4) Directive, 2020' on 29th October 2020. Measures outlined will apply between the 29th October, 2020 and the 27th March, 2021.    While the measures allow public transport to operate with its authorised number of seated passengers, only half the number of authorised standing passengers are allowed on the vehicle.    https://drive.google.com/file/d/120tlIBURJq4vvzEgG4UR5khtz-N9jxXJ/view"
Barbados,BRB,20201221,20220625,E2: Debt/contract relief,1,,"No evidence of a policy change.  ""Banks are now working with individual borrowers as needed on further repayment extensions.""  source:  https://archive.vn/bZZSM"
Barbados,BRB,20201231,20210628,C6: Stay at home requirements,2,1,"Curfew in place between midnight and 5 am beginning on December 31st.  source:  http://web.archive.org/web/20210103175958/https://gisbarbados.gov.bb/download/emergency-management-covid-19-protocol-no-4-amendment/"
Barbados,BRB,20210101,20210101,C4: Restrictions on gatherings,3,1,"Beginning on January 1, 2021 until January 14th, 2021.  ""A person who wishes to host an activity that exceeds 50 persons shall fi rst seek the permission of the Covid-19 Protocol Monitoring Unit, in this Directive referred to as the ""Unit"", and shall comply with such conditions as the Unit may determine.""  source:  https://archive.vn/BSRX9"
Barbados,BRB,20210102,20210705,C3: Cancel public events,2,1,"From January 2nd until January 14th, no person shall host or attend:  a party;  (b) a recreational or competitive sporting event;  (c) a banquet, ball, dance or reception;  (d) a meeting of a fraternal society, private or social club or   civic association or organization;  (e) the social event known as  (i) ""a bus crawl""; or  (ii) ""a lime"";  (f) a karaoke event;  (g) a picnic; or  (h) a bus or other vehicular excursion  source:  https://archive.vn/kOBRg  "
Barbados,BRB,20210102,20210614,C4: Restrictions on gatherings,4,1,"From January 2nd until January 14th:  ""A person may only visit a beach or a park for the purpose of   swimming or exercise and, in the case of a group of persons, such  persons shall be from the same household and shall not exceed 10  persons.""  source:  https://archive.vn/kOBRg"
Barbados,BRB,20210118,20210418,C1: School closing,3,1,"Public schools resumed with online classes on January 18th. Barbados Community College also returned to online classes on January 22nd.  sources:  https://archive.vn/h9AXR  https://archive.vn/Jzwkf"
